DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 14:33:38.801,13,-3.59262,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,401,118
Mon.May.02.2022 14:33:38.801,13,-3.56771,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,401,118
Mon.May.02.2022 14:33:38.918,13,-3.5419,MCU is reading properly,253,-12,G,65.82 Hz,4.12 Hz,0,370,119
Mon.May.02.2022 14:33:38.918,13,-3.51523,MCU is reading properly,253,-12,G,46.92 Hz,4.12 Hz,0,370,119
Mon.May.02.2022 14:33:38.918,13,-3.48774,MCU is reading properly,253,-12,G,48.64 Hz,4.12 Hz,0,370,119
Mon.May.02.2022 14:33:38.918,13,-3.45947,MCU is reading properly,253,-12,G,48.48 Hz,4.12 Hz,0,370,119
Mon.May.02.2022 14:33:38.918,13,-3.43054,MCU is reading properly,253,-12,G,69.35 Hz,4.12 Hz,0,370,119
Mon.May.02.2022 14:33:38.934,13,-3.40081,MCU is reading properly,253,-12,G,65.55 Hz,4.12 Hz,0,370,120
Mon.May.02.2022 14:33:38.934,13,-3.40081,MCU is reading properly,253,-12,G,66.21 Hz,4.12 Hz,0,370,120
Mon.May.02.2022 14:33:38.934,13,-3.37042,MCU is reading properly,253,-12,G,66.10 Hz,4.12 Hz,0,370,120
Mon.May.02.2022 14:33:38.934,13,-3.3394,MCU is reading properly,253,-12,G,66.12 Hz,4.12 Hz,0,370,120
Mon.May.02.2022 14:33:38.949,13,-3.3394,MCU is reading properly,253,-12,G,66.11 Hz,4.12 Hz,0,370,121
Mon.May.02.2022 14:33:38.949,13,-3.3078,MCU is reading properly,253,-12,G,66.11 Hz,4.12 Hz,0,370,121
Mon.May.02.2022 14:33:39.070,13,-3.27565,MCU is reading properly,253,-12,G,66.11 Hz,4.12 Hz,0,401,122
Mon.May.02.2022 14:33:39.070,13,-3.24301,MCU is reading properly,253,-12,G,47.25 Hz,4.12 Hz,0,401,122
Mon.May.02.2022 14:33:39.070,13,-3.20991,MCU is reading properly,253,-12,G,48.99 Hz,4.12 Hz,0,401,122
Mon.May.02.2022 14:33:39.070,13,-3.1764,MCU is reading properly,253,-12,G,48.83 Hz,4.12 Hz,0,401,122
Mon.May.02.2022 14:33:39.085,13,-3.14253,MCU is reading properly,253,-12,G,70.85 Hz,4.12 Hz,0,401,123
Mon.May.02.2022 14:33:39.085,13,-3.10834,MCU is reading properly,253,-12,G,66.69 Hz,4.12 Hz,0,401,123
Mon.May.02.2022 14:33:39.085,13,-3.07387,MCU is reading properly,253,-12,G,67.44 Hz,4.12 Hz,0,401,123
Mon.May.02.2022 14:33:39.085,13,-3.03917,MCU is reading properly,253,-12,G,67.30 Hz,4.12 Hz,0,401,123
Mon.May.02.2022 14:33:39.101,13,-3.0044,MCU is reading properly,253,-12,G,67.33 Hz,4.12 Hz,0,401,124
Mon.May.02.2022 14:33:39.101,13,-3.0044,MCU is reading properly,253,-12,G,67.32 Hz,4.12 Hz,0,401,124
