DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 16:02:54.758,13,2.73401,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
Mon.May.02.2022 16:02:54.758,13,2.73401,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
Mon.May.02.2022 16:02:54.758,13,2.76864,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
Mon.May.02.2022 16:02:54.775,13,2.80344,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
Mon.May.02.2022 16:02:54.775,13,2.83836,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
Mon.May.02.2022 16:02:54.775,13,2.87337,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
Mon.May.02.2022 16:02:54.775,13,2.87337,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2053
Mon.May.02.2022 16:02:54.796,13,2.90841,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2054
Mon.May.02.2022 16:02:54.796,13,2.94345,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2054
Mon.May.02.2022 16:02:54.796,13,2.97843,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2054
Mon.May.02.2022 16:02:54.917,13,3.0132,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.917,13,3.04794,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.917,13,3.08248,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.917,13,3.08248,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.917,13,3.11678,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.938,13,3.15079,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
Mon.May.02.2022 16:02:54.938,13,3.18448,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,2053
